date,GEORGIA-PACIFIC CORP.,"CHURCH & DWIGHT CO., INC.",TRACTOR SUPPLY COMPANY,KBX LOGISTICS LLC,"MONDELEZ INTERNATIONAL, INC."
2024-01-15,49,163,206,9,113
2024-01-16,75,93,187,9,103
2024-01-17,49,83,197,4,88
2024-01-18,40,73,194,7,98
2024-01-19,47,60,161,10,120
2024-01-20,0,0,0,0,0
2024-01-21,0,0,0,0,0
2024-01-22,80,134,180,15,93
2024-01-23,32,109,155,13,85
2024-01-24,56,103,148,15,92
2024-01-25,58,52,170,6,109
2024-01-26,73,83,142,11,106
2024-01-27,0,0,0,0,0
2024-01-28,0,0,0,0,0
2024-01-29,42,172,135,11,90
2024-01-30,47,146,230,9,125
2024-01-31,44,117,195,11,94
2024-02-01,34,78,269,13,83
2024-02-02,45,91,168,3,140
2024-02-03,0,0,0,0,0
2024-02-04,0,0,0,0,0
2024-02-05,54,117,180,10,106
2024-02-06,37,164,205,7,89
2024-02-07,42,112,192,14,158
2024-02-08,32,95,177,9,95
2024-02-09,49,110,188,16,125
2024-02-10,0,0,0,0,0
2024-02-11,0,0,0,0,0
2024-02-12,49,163,259,16,107
2024-02-13,48,150,224,13,103
2024-02-14,45,103,181,17,102
2024-02-15,28,58,207,8,92
2024-02-16,68,125,193,10,127
2024-02-17,0,0,0,0,0
2024-02-18,0,0,0,0,0
2024-02-19,40,103,203,12,105
2024-02-20,39,226,158,13,114
2024-02-21,37,115,167,15,112
2024-02-22,42,57,203,3,110
2024-02-23,39,96,122,10,73
2024-02-24,0,0,0,0,0
2024-02-25,0,0,0,0,0
2024-02-26,59,147,171,6,86
2024-02-27,59,116,146,12,109
2024-02-28,47,96,141,8,110
2024-02-29,45,102,138,6,88
2024-03-01,59,121,120,10,70
2024-03-02,0,0,0,0,0
2024-03-03,0,0,0,0,0
2024-03-04,36,183,112,13,84
2024-03-05,36,202,133,7,133
2024-03-06,21,137,141,8,86
2024-03-07,36,148,143,14,125
2024-03-08,63,96,96,12,65
2024-03-09,0,0,0,0,0
2024-03-10,0,0,0,0,0
2024-03-11,46,175,145,3,114
2024-03-12,37,153,151,11,151
2024-03-13,29,93,132,7,109
2024-03-14,29,79,126,9,102
2024-03-15,53,56,104,15,136
2024-03-16,0,0,0,0,0
2024-03-17,0,0,0,0,0
2024-03-18,41,181,157,6,51
2024-03-19,28,141,163,3,102
2024-03-20,48,113,180,12,86
2024-03-21,49,115,100,5,156
2024-03-22,40,109,108,10,100
2024-03-23,0,0,0,0,0
2024-03-24,0,0,0,0,0
2024-03-25,45,166,151,5,79
2024-03-26,44,139,115,8,90
2024-03-27,14,74,108,7,116
2024-03-28,39,58,154,4,168
2024-03-29,33,53,104,5,46
2024-03-30,0,0,0,0,0
2024-03-31,0,0,0,0,0




USPS RICHMOND 183L78	6892 MAIN ST	GLOUCESTER	VA	23061	6892 MAIN ST,GLOUCESTER,VA,23061
CP SAINT PAUL CSP	1000 SHOP RD	SAINT PAUL	MN	55106	1000 SHOP RD,SAINT PAUL,MN,55106
CULVER POWER EQUIPMENT	18591 STATE ROAD 10	CULVER	IN	46511
VORWALLER & BROOKS INC - 14035 KIRKHAM WAY STE 103,POWAY,CA,92064  
https://www.kaggle.com/code/mohamedkhaledidris/skin-cancer-classification-cnn-tensorflow/comments
